Date	TW_I	TW_O	O2	TEMP_IN_Z1	TEMP_IN_Z2	TEMP_IN_Z3	TEMP_IN_Z4
00:00:02 05-03-2018	127.119369506836	130.992492675781	14.8129997253418	0	0	136	0
00:00:17 05-03-2018	127.064422607422	131.019973754883	14.7978000640869	0	0	135	0
00:00:32 05-03-2018	127.146835327148	131.157318115234	14.8015995025635	0	0	136	0
00:00:47 05-03-2018	127.2841796875	131.322128295898	14.782600402832	0	0	136	0
00:01:02 05-03-2018	126.762268066406	131.184783935547	14.782600402832	0	0	136	0
00:01:17 05-03-2018	126.515045166016	130.992492675781	14.7902011871338	0	0	136	0
00:01:32 05-03-2018	126.460113525391	131.10237121582	14.8015995025635	0	0	136	0
00:01:47 05-03-2018	126.460113525391	131.129837036133	14.7978000640869	0	0	136	0
00:02:02 05-03-2018	126.212890625	131.047439575195	14.8092002868652	0	0	136	0
00:02:17 05-03-2018	126.103012084961	130.800216674805	14.816801071167	0	0	136	0
00:02:32 05-03-2018	125.883270263672	130.552993774414	14.8206005096436	0	0	136	0
00:02:47 05-03-2018	126.075546264648	130.717803955078	14.8320007324219	0	0	136	0
00:03:02 05-03-2018	125.965667724609	130.662872314453	14.8434009552002	0	0	136	0
00:03:17 05-03-2018	126.020614624023	130.745269775391	14.8320007324219	0	0	136	0
00:03:32 05-03-2018	125.965667724609	130.745269775391	14.839599609375	0	0	136	0
00:03:47 05-03-2018	125.883270263672	130.772750854492	14.8320007324219	0	0	136	0
00:04:02 05-03-2018	125.581100463867	130.717803955078	14.8358001708984	0	0	136	0
00:04:17 05-03-2018	125.306411743164	130.470581054688	14.8472003936768	0	0	136	0
00:04:32 05-03-2018	125.333877563477	130.635406494141	14.8661994934082	0	0	136	0
00:04:47 05-03-2018	125.114135742188	130.470581054688	14.87380027771	0	0	136	0
00:05:02 05-03-2018	125.086654663086	130.415649414063	14.8814010620117	0	0	136	0
00:05:17 05-03-2018	124.839447021484	130.250839233398	14.87380027771	0	0	136	0
00:05:32 05-03-2018	124.949310302734	130.38818359375	14.8889999389648	0	0	136	0
00:05:47 05-03-2018	124.894378662109	130.333236694336	14.8852005004883	0	0	136	0
00:06:02 05-03-2018	124.894378662109	130.360717773438	14.8889999389648	0	0	136	0
00:06:17 05-03-2018	125.086654663086	130.498062133789	14.8775997161865	0	0	137	0
00:06:32 05-03-2018	125.031723022461	130.498062133789	14.8852005004883	0	0	137	0
00:06:47 05-03-2018	124.976791381836	129.921203613281	14.8889999389648	131	0	0	0
00:07:02 05-03-2018	124.78450012207	127.64128112793	14.9421997070313	130	0	0	0
00:07:17 05-03-2018	125.196533203125	127.64128112793	13.0232009887695	130	0	0	0
00:07:32 05-03-2018	125.031723022461	127.586334228516	10.8420009613037	131	0	0	0
00:07:47 05-03-2018	125.031723022461	127.943435668945	10.0174007415771	131	0	0	0
